Target RPS,Actual RPS,Avg Latency (ms),p95 Latency (ms),Success Count,Failure Count
20,20.0,8.7,16.5,600,0
40,40.0,8.4,15.2,1200,0
60,60.0,7.9,14.5,1800,0
80,80.0,7.8,14.3,2399,0
100,100.0,7.8,14.3,3000,0
200,200.0,7.2,13.8,6000,0
300,299.9,7.7,14.5,8996,0
400,400.0,8.0,15.1,11999,0
500,500.0,8.5,16.0,14999,0
600,600.0,9.0,17.2,17999,0
800,799.9,10.0,19.3,23996,0
1000,984.0,11.9,23.2,29519,0
1200,1083.9,13.6,26.5,32517,0
1400,1170.6,30.3,70.9,35117,0
1600,1266.0,96.9,228.2,37981,0
1800,1386.8,177.9,379.1,41603,0
2000,1494.3,239.9,469.2,44828,102
2200,1520.7,280.9,565.8,45620,663
2400,1524.7,1548.5,4950.9,45742,1156
2600,1558.5,2688.0,7369.6,46754,1408
2800,1483.6,4396.8,9518.7,44507,1961
3000,1465.8,4754.9,10491.1,43975,2290
3400,1499.6,5974.8,12922.9,44989,2715
3800,1448.6,5627.9,12023.8,43458,3093
4000,1492.0,6610.7,14279.1,44760,3041
4400,1465.1,5757.2,12333.8,43952,3079
4800,1502.7,6690.3,14450.5,45081,3144
5000,1470.8,6069.7,12778.5,44123,3265
