Target RPS,Actual RPS,Avg Latency (ms),p95 Latency (ms),Success Count,Failure Count
20,20.0,7.1,12.6,600,0
40,40.0,6.7,12.2,1200,0
60,60.0,6.6,12.0,1799,0
80,80.0,6.8,12.5,2400,0
100,100.0,7.1,13.5,3000,0
200,200.0,7.3,13.8,6000,0
300,300.0,7.7,14.6,9000,0
400,400.0,8.1,15.5,12000,0
500,500.0,8.7,16.5,15000,0
600,600.0,9.3,17.6,17999,0
800,799.9,10.7,20.5,23997,0
1000,985.8,12.5,24.1,29573,0
1200,1082.6,14.1,26.9,32478,0
1400,1170.3,17.3,32.1,35110,0
1600,1260.0,86.3,180.8,37800,0
1800,1387.2,131.5,287.6,41616,0
2000,1497.8,211.9,433.5,44933,30
2200,1503.0,280.5,495.2,45091,686
2400,1669.1,427.4,709.8,50072,25
2600,1432.6,3797.2,9135.1,42977,1609
2800,1470.1,4615.0,11739.8,44104,1864
3000,1470.2,4634.6,11715.5,44105,2035
3400,1433.1,6726.2,14767.0,42994,2801
3800,1406.6,6882.5,14700.2,42197,2752
4000,1421.7,7822.3,16566.6,42650,3347
4400,1408.1,7323.0,15118.3,42243,3367
4800,1432.7,7893.0,16671.7,42980,3731
5000,1407.6,7492.8,15420.9,42229,3802
