Target RPS,Actual RPS,Avg Latency (ms),p95 Latency (ms),Success Count,Failure Count
20,20.0,9.0,16.5,600,0
40,40.0,8.5,15.7,1200,0
60,60.0,6.4,12.3,1800,0
80,80.0,6.6,12.2,2400,0
100,100.0,7.1,13.3,2999,0
200,200.0,7.3,13.7,5999,0
300,300.0,7.7,14.8,8999,0
400,400.0,8.0,15.2,12000,0
500,499.7,8.4,16.0,14992,0
600,600.0,8.7,16.8,17999,0
800,799.8,9.8,18.8,23995,0
1000,986.0,11.6,23.0,29580,0
1200,1083.7,14.1,27.7,32512,0
1400,1181.9,59.0,125.3,35458,0
1600,1261.6,108.2,223.8,37847,0
1800,1396.1,189.5,407.0,41884,0
2000,1497.7,285.2,582.4,44931,78
2200,1441.5,964.7,3218.0,43244,1277
2400,1511.2,2324.3,6730.8,45337,1704
2600,1548.0,4135.7,8793.7,46439,1577
2800,1493.6,4610.8,9567.0,44807,2302
3000,1539.8,5305.3,11245.1,46193,2076
3400,1525.2,5146.8,10590.0,45756,2646
3800,1541.8,5838.8,12218.6,46254,2844
4000,1519.4,5355.5,11226.2,45582,2927
4400,1550.3,5738.8,12128.1,46510,3276
4800,1529.9,5140.0,10747.9,45898,3204
5000,1567.9,5769.4,11986.8,47038,3184
