Target RPS,Actual RPS,Avg Latency (ms),p95 Latency (ms),Success Count,Failure Count
20,20.0,9.7,16.9,600,0
40,40.0,8.7,16.1,1200,0
60,60.0,7.5,13.6,1799,0
80,80.0,7.3,13.2,2400,0
100,100.0,7.5,14.0,2999,0
200,200.0,7.5,13.6,6000,0
300,300.0,7.8,14.4,8999,0
400,400.0,8.3,15.4,11999,0
500,500.0,8.8,16.3,14999,0
600,600.0,9.4,17.4,17999,0
800,799.9,10.8,19.8,23997,0
1000,984.5,12.8,23.6,29535,0
1200,1085.8,15.4,28.2,32573,0
1400,1174.6,60.9,135.8,35237,0
1600,1265.8,127.0,283.2,37974,0
1800,1378.4,176.5,383.4,41353,0
2000,1436.3,1250.8,6153.1,43090,622
2200,1396.3,1918.0,7256.3,41890,1248
2400,1378.9,4887.8,13457.0,41368,2362
2600,1300.9,6457.0,15117.4,39026,3047
2800,1281.3,8190.9,18048.5,38439,3888
3000,1281.6,8161.9,17976.5,38447,4319
3400,1281.2,9429.6,19837.0,38435,4940
3800,1272.1,9273.5,19198.5,38164,5530
4000,1277.0,9766.5,20222.6,38311,5751
4400,1274.6,9605.8,19702.2,38238,6130
4800,1284.1,10086.4,20657.9,38522,6703
5000,1270.1,9954.0,20251.7,38102,6682
