Target RPS,Actual RPS,Avg Latency (ms),p95 Latency (ms),Success Count,Failure Count
20,20.0,1.8,4.4,600,0
40,40.0,1.7,4.0,1200,0
60,60.0,1.6,4.0,1800,0
80,80.0,1.7,4.0,2400,0
100,100.0,1.6,3.9,2999,0
200,200.0,1.4,3.6,6000,0
300,300.0,1.4,4.0,9000,0
400,400.0,1.2,3.7,11999,0
500,500.0,1.2,3.6,14999,0
600,600.0,1.2,3.5,18000,0
800,799.9,1.1,3.5,23996,0
1000,950.9,1.1,3.5,28527,0
1200,1034.5,1.1,3.4,31034,0
1400,1312.1,1.0,3.4,39364,0
1600,1433.0,1.1,3.4,42990,0
1800,1502.8,1.1,3.5,45084,0
2000,1563.2,1.1,3.5,46897,0
2200,1662.9,1.1,3.5,49887,0
2400,1780.9,1.1,3.5,53426,0
2600,1843.2,1.1,3.5,55297,0
2800,1886.8,1.1,3.6,56604,0
3000,1988.1,1.1,3.6,59644,0
3400,2261.9,1.2,3.6,67858,0
3800,2548.8,1.2,3.7,76463,0
4000,2675.9,1.2,3.8,80276,0
4400,2838.8,1.7,4.2,85165,366
4800,2563.3,3.2,24.4,76899,4448
5000,2877.7,2.7,5.4,86331,3388
