Target RPS,Actual RPS,Avg Latency (ms),p95 Latency (ms),Success Count,Failure Count
20,20.0,1.8,4.3,599,0
40,40.0,1.7,4.1,1200,0
60,60.0,1.7,4.1,1799,0
80,80.0,1.7,4.0,2400,0
100,100.0,1.7,4.0,2999,0
200,200.0,1.4,3.7,6000,0
300,300.0,1.4,4.0,8999,0
400,400.0,1.2,3.9,12000,0
500,500.0,1.2,3.6,14999,0
600,600.0,1.1,3.6,17999,0
800,799.9,1.1,3.5,23997,0
1000,950.0,1.1,3.5,28500,0
1200,1031.4,1.1,3.4,30942,0
1400,1309.3,1.0,3.4,39279,0
1600,1432.9,1.1,3.4,42986,0
1800,1500.5,1.1,3.5,45016,0
2000,1558.1,1.1,3.5,46742,0
2200,1656.1,1.1,3.5,49683,0
2400,1784.9,1.1,3.5,53548,0
2600,1836.7,1.1,3.5,55102,0
2800,1893.1,1.1,3.5,56793,0
3000,1982.2,1.1,3.6,59466,0
3400,2264.1,1.2,3.6,67923,0
3800,2549.8,1.2,3.7,76493,0
4000,2654.7,1.2,3.7,79640,0
4400,2899.1,1.5,4.0,86972,351
4800,2526.8,3.3,24.8,75804,4476
5000,2944.2,2.7,7.1,88325,2375
