Target RPS,Actual RPS,Avg Latency (ms),p95 Latency (ms),Success Count,Failure Count
20,20.0,6.7,12.2,599,0
40,40.0,6.6,11.8,1200,0
60,60.0,6.6,11.9,1800,0
80,80.0,6.7,12.3,2399,0
100,100.0,6.9,12.9,2999,0
200,200.0,7.3,14.0,6000,0
300,300.0,7.7,14.6,9000,0
400,400.0,8.1,15.3,12000,0
500,500.0,8.7,16.5,14999,0
600,599.9,9.4,17.8,17998,0
800,799.9,10.7,20.5,23997,0
1000,985.2,12.5,24.2,29557,0
1200,1085.9,15.1,28.7,32578,0
1400,1169.9,26.7,52.1,35096,0
1600,1262.1,113.9,248.0,37862,0
1800,1392.0,181.1,376.8,41760,0
2000,1466.9,231.5,439.3,44007,504
2200,1554.4,322.6,568.7,46633,144
2400,1618.4,451.9,710.9,48551,490
2600,1422.9,4860.9,11085.0,42687,1435
2800,1411.0,4952.6,11728.7,42330,1911
3000,1437.0,6145.0,14162.1,43109,2290
3400,1417.8,6458.0,14038.5,42533,2298
3800,1402.4,7374.8,15656.3,42073,3654
4000,1394.6,7221.6,15214.8,41838,3460
4400,1415.5,7837.4,16447.1,42466,3886
4800,1405.3,7571.0,15707.7,42158,3844
5000,1420.2,7967.2,16585.6,42605,4178
