Target RPS,Actual RPS,Avg Latency (ms),p95 Latency (ms),Success Count,Failure Count
20,20.0,1.8,5.1,599,0
40,40.0,1.7,5.1,1199,0
60,60.0,1.7,4.9,1799,0
80,80.0,1.6,4.8,2399,0
100,100.0,1.6,4.8,3000,0
200,199.9,1.5,3.8,5998,0
300,300.0,1.3,4.0,8999,0
400,400.0,1.2,3.5,12000,0
500,500.0,1.2,3.6,15000,0
600,599.9,1.1,3.6,17998,0
800,799.9,1.1,3.5,23998,0
1000,943.2,1.1,3.5,28296,0
1200,1049.9,1.1,3.5,31498,0
1400,1315.2,1.1,3.4,39455,0
1600,1444.2,1.0,3.5,43326,0
1800,1508.9,1.1,3.4,45268,0
2000,1548.2,1.1,3.5,46445,0
2200,1656.1,1.1,3.5,49682,0
2400,1778.9,1.1,3.5,53367,0
2600,1820.8,1.1,3.5,54624,0
2800,1861.0,1.1,3.5,55831,0
3000,1955.6,1.1,3.6,58668,0
3400,2246.0,1.1,3.6,67380,0
3800,2547.3,1.2,3.7,76420,0
4000,2650.5,1.2,3.7,79514,0
4400,2824.0,1.6,3.9,84719,415
4800,2656.2,3.1,22.5,79686,2247
5000,2807.1,2.9,16.7,84214,3538
