Target RPS,Actual RPS,Avg Latency (ms),p95 Latency (ms),Success Count,Failure Count
20,20.0,8.4,15.8,600,0
40,40.0,8.1,15.5,1199,0
60,60.0,7.5,14.4,1799,0
80,80.0,7.4,14.2,2399,0
100,100.0,7.5,14.6,2999,0
200,200.0,6.9,13.7,6000,0
300,300.0,7.2,14.4,9000,0
400,400.0,7.7,15.3,12000,0
500,500.0,8.2,16.2,15000,0
600,600.0,8.7,17.5,18000,0
800,799.9,10.1,20.1,23998,0
1000,985.1,11.5,22.8,29552,0
1200,1086.8,13.4,26.3,32603,0
1400,1170.2,15.6,30.0,35107,0
1600,1258.9,73.6,164.0,37768,0
1800,1391.4,149.2,325.5,41743,0
2000,1497.6,212.3,414.1,44928,0
2200,1518.2,278.0,472.8,45545,549
2400,1665.5,360.5,623.0,49964,35
2600,1711.5,596.1,1154.4,51344,81
2800,1511.3,4311.5,10584.9,45338,1180
3000,1441.4,5188.9,11902.3,43241,1747
3400,1467.6,6491.3,14732.2,44027,2148
3800,1460.1,6552.0,14637.6,43802,2209
4000,1465.3,7034.0,15643.7,43958,2563
4400,1465.3,6915.8,15245.9,43958,2469
4800,1462.1,7414.0,16170.0,43863,3181
5000,1451.2,7267.2,15773.2,43537,3322
