Target RPS,Actual RPS,Avg Latency (ms),p95 Latency (ms),Success Count,Failure Count
20,20.0,4.9,5.6,599,0
40,40.0,4.6,5.4,1199,0
60,60.0,4.4,5.1,1799,0
80,80.0,4.0,4.9,2399,0
100,100.0,3.8,4.6,3000,0
200,200.0,3.5,4.1,5999,0
300,300.0,3.5,4.1,8999,0
400,399.8,3.5,4.2,11995,0
500,500.0,3.7,4.5,14999,0
600,600.0,3.8,4.6,17999,0
800,799.8,4.0,5.0,23995,0
1000,980.3,4.2,5.4,29409,0
1200,1093.0,4.4,5.7,32791,0
1400,1195.0,4.5,5.9,35851,0
1600,1292.1,4.7,6.3,38764,0
1800,1382.0,4.9,6.6,41461,0
2000,1490.9,5.0,6.7,44727,0
2200,1601.1,5.3,7.3,48032,0
2400,1776.7,5.6,8.1,53300,0
2600,1832.3,109.9,788.6,54969,1006
2800,1597.9,82.9,507.1,47937,4947
3000,1669.2,252.4,1340.4,50077,5797
3400,1397.6,206.6,1117.0,41927,9998
3800,1436.4,672.7,2218.8,43093,11391
4000,1320.9,439.2,1241.1,39626,11157
4400,1161.9,584.0,1717.3,34857,13660
4800,1394.8,647.5,1990.1,41844,12581
5000,1244.1,569.5,1730.2,37322,14172
