Target RPS,Actual RPS,Avg Latency (ms),p95 Latency (ms),Success Count,Failure Count
20,20.0,5.8,6.5,600,0
40,40.0,5.4,6.2,1200,0
60,60.0,4.9,5.6,1800,0
80,80.0,4.5,5.3,2400,0
100,100.0,4.3,4.9,2999,0
200,200.0,3.9,4.5,6000,0
300,300.0,3.5,4.2,9000,0
400,400.0,3.6,4.3,11999,0
500,500.0,3.7,4.4,15000,0
600,600.0,3.8,4.6,17999,0
800,799.9,4.0,5.0,23996,0
1000,981.9,4.3,5.4,29457,0
1200,1096.8,4.4,5.8,32903,0
1400,1187.3,4.5,5.9,35618,0
1600,1289.6,4.8,6.3,38687,0
1800,1384.5,4.9,6.7,41535,0
2000,1489.1,5.2,6.9,44673,0
2200,1607.7,5.4,7.5,48231,0
2400,1774.8,6.0,8.7,53243,0
2600,1902.9,7.5,11.3,57087,0
2800,1642.5,194.5,1100.2,49274,4692
3000,1628.5,79.7,421.5,48856,5755
3400,1351.1,572.9,2023.9,40532,11052
3800,1415.1,366.0,1310.9,42454,10859
4000,1259.3,391.2,1281.5,37778,12683
4400,1327.6,619.9,1619.8,39829,12164
4800,1323.0,520.2,1227.4,39690,12283
5000,1260.6,1017.4,2782.6,37817,13605
