Target RPS,Actual RPS,Avg Latency (ms),p95 Latency (ms),Success Count,Failure Count
20,20.0,4.7,5.5,600,0
40,40.0,4.8,6.0,1199,0
60,60.0,5.1,6.6,1799,0
80,80.0,5.3,7.2,2400,0
100,100.0,5.6,7.7,3000,0
200,200.0,5.2,10.6,6000,0
300,300.0,6.4,16.5,8999,0
400,400.0,7.6,21.7,11999,0
500,500.0,7.8,22.6,14999,0
600,599.9,8.2,25.1,17998,0
800,799.8,9.3,28.6,23995,0
1000,984.0,11.3,35.6,29521,0
1200,1108.7,13.7,45.4,33262,0
1400,1159.3,15.1,51.7,34778,0
1600,1305.3,18.6,62.5,39160,0
1800,1389.2,22.4,70.6,41675,660
2000,1404.5,24.2,74.2,42136,2457
2200,1459.5,28.0,84.6,43785,3155
2400,1411.0,33.3,95.2,42329,5508
2600,1523.4,38.6,106.4,45703,5792
2800,1463.9,46.1,133.8,43918,7166
3000,1566.9,76.0,227.7,47007,6583
3400,1519.5,106.2,280.8,45584,8437
3800,1520.6,173.8,588.1,45619,9119
4000,1628.5,194.3,498.8,48854,8699
4400,1475.1,218.2,563.3,44253,10658
4800,1572.8,356.5,861.6,47185,9028
5000,1398.0,232.0,574.0,41941,11130
