Target RPS,Actual RPS,Avg Latency (ms),p95 Latency (ms),Success Count,Failure Count
20,20.0,4.4,5.2,599,0
40,40.0,4.5,5.7,1199,0
60,60.0,4.8,6.4,1799,0
80,80.0,4.7,6.5,2399,0
100,100.0,5.3,7.3,2999,0
200,200.0,5.2,10.0,6000,0
300,300.0,5.8,12.9,8999,0
400,400.0,6.3,17.4,12000,0
500,500.0,6.3,19.0,14999,0
600,599.9,6.8,20.6,17997,0
800,799.9,7.6,24.8,23998,0
1000,983.2,9.3,32.9,29496,0
1200,1110.5,11.8,43.2,33315,0
1400,1162.2,12.6,44.8,34866,0
1600,1300.0,16.0,56.5,39000,0
1800,1415.2,18.7,65.9,42456,0
2000,1407.3,23.2,76.1,42219,2332
2200,1529.4,23.7,75.6,45881,1523
2400,1431.6,30.3,92.1,42948,4940
2600,1516.5,34.2,105.4,45496,6058
2800,1523.5,34.8,110.8,45704,6508
3000,1619.3,42.2,124.7,48578,6198
3400,1532.8,45.8,130.8,45983,9744
3800,1595.8,83.6,295.8,47873,9017
4000,1668.5,82.6,247.7,50054,8878
4400,1599.5,98.4,256.6,47984,9487
4800,1505.2,176.3,501.2,45155,12863
5000,1532.5,181.3,478.2,45974,9514
