Target RPS,Actual RPS,Avg Latency (ms),p95 Latency (ms),Success Count,Failure Count
20,20.0,3.6,4.3,600,0
40,40.0,3.7,5.0,1199,0
60,60.0,4.6,6.3,1800,0
80,80.0,6.1,16.5,2400,0
100,100.0,6.7,20.3,3000,0
200,200.0,5.0,9.6,5999,0
300,300.0,6.3,16.2,9000,0
400,400.0,7.8,23.3,12000,0
500,500.0,8.5,25.9,14999,0
600,600.0,8.9,27.3,17999,0
800,799.9,9.7,30.7,23998,0
1000,984.5,12.1,39.7,29534,0
1200,1105.5,14.4,48.6,33164,0
1400,1166.6,15.7,54.2,34997,0
1600,1298.7,19.4,68.1,38961,0
1800,1429.3,22.1,70.0,42878,0
2000,1454.1,27.9,88.2,43624,1690
2200,1484.2,28.5,84.2,44526,2883
2400,1438.0,36.3,105.2,43139,5963
2600,1533.9,45.5,143.7,46018,5644
2800,1432.3,53.7,163.9,42969,8818
3000,1560.8,62.6,173.7,46825,8191
3400,1541.6,141.8,478.4,46247,8242
3800,1547.9,188.0,507.2,46437,8306
4000,1561.3,258.1,652.7,46840,9255
4400,1425.7,301.6,867.3,42770,11348
4800,1483.5,325.1,935.3,44504,10041
5000,1439.1,346.9,841.3,43172,12058
