Target RPS,Actual RPS,Avg Latency (ms),p95 Latency (ms),Success Count,Failure Count
20,20.0,5.2,5.9,600,0
40,40.0,4.9,5.6,1200,0
60,60.0,4.7,5.6,1799,0
80,80.0,4.8,5.9,2400,0
100,100.0,4.9,6.2,2999,0
200,200.0,5.0,8.8,6000,0
300,299.9,5.2,9.9,8998,0
400,400.0,5.2,11.0,12000,0
500,500.0,5.7,13.4,15000,0
600,600.0,6.4,16.9,17999,0
800,799.9,7.7,23.0,23996,0
1000,981.1,9.6,30.0,29433,0
1200,1104.3,12.2,39.1,33130,0
1400,1168.8,12.6,40.1,35063,0
1600,1292.7,15.5,49.3,38780,0
1800,1416.2,18.0,55.2,42487,0
2000,1547.1,22.6,71.3,46413,3
2200,1503.3,25.5,77.1,45099,1822
2400,1612.2,33.1,102.0,48367,2288
2600,1493.8,53.5,178.0,44813,4232
2800,1684.3,43.5,129.8,50529,3980
3000,1521.1,67.2,244.9,45632,6504
3400,1687.0,76.6,216.3,50610,6755
3800,1623.1,105.7,277.3,48694,8202
4000,1500.2,139.0,420.1,45006,9703
4400,1727.1,308.5,806.2,51813,5346
4800,1526.1,219.1,598.4,45782,8503
5000,1594.9,600.7,1399.1,47847,8285
