Target RPS,Actual RPS,Avg Latency (ms),p95 Latency (ms),Success Count,Failure Count
20,20.0,4.0,4.7,599,0
40,40.0,3.7,4.4,1200,0
60,60.0,3.4,4.0,1800,0
80,80.0,3.2,3.9,2400,0
100,100.0,3.2,3.8,3000,0
200,200.0,3.2,3.9,6000,0
300,300.0,3.2,4.3,8999,0
400,400.0,3.6,4.3,11999,0
500,500.0,3.7,4.4,14999,0
600,600.0,3.5,4.4,17999,0
800,800.0,3.8,4.8,23999,0
1000,981.4,4.0,5.2,29442,0
1200,1095.3,4.1,5.4,32859,0
1400,1193.0,4.2,5.5,35790,0
1600,1290.8,4.4,5.8,38724,0
1800,1391.4,4.6,6.2,41743,0
2000,1489.4,4.8,6.4,44682,0
2200,1600.5,5.0,6.9,48015,0
2400,1770.4,5.5,7.9,53112,0
2600,1893.4,6.1,9.0,56802,0
2800,1788.5,393.1,1851.8,53656,2290
3000,1820.6,46.6,305.0,54619,1477
3400,1768.8,786.5,3336.8,53064,4527
3800,1316.3,388.6,1229.0,39488,11566
4000,1503.5,1636.4,3154.5,45106,8632
4400,1292.5,557.0,1510.8,38774,13131
4800,1529.9,1736.7,3029.7,45896,8573
5000,1292.6,1342.6,4414.9,38778,13675
