Target RPS,Actual RPS,Avg Latency (ms),p95 Latency (ms),Success Count,Failure Count
20,20.0,4.0,4.6,599,0
40,40.0,3.8,4.4,1200,0
60,60.0,3.5,4.1,1799,0
80,80.0,4.0,4.7,2399,0
100,100.0,3.9,4.5,2999,0
200,200.0,3.1,3.8,5999,0
300,300.0,3.2,4.1,9000,0
400,400.0,3.7,4.4,11999,0
500,500.0,3.7,4.5,15000,0
600,600.0,3.5,4.4,18000,0
800,799.9,3.8,4.8,23996,0
1000,980.3,4.0,5.1,29410,0
1200,1101.1,4.1,5.4,33033,0
1400,1195.6,4.2,5.5,35869,0
1600,1298.5,4.4,5.8,38956,0
1800,1385.9,4.6,6.2,41578,0
2000,1487.7,4.9,6.5,44630,0
2200,1604.9,5.0,6.9,48147,0
2400,1763.5,5.5,7.8,52906,0
2600,1888.0,6.6,10.2,56640,0
2800,1788.7,356.5,1776.6,53662,2200
3000,1849.0,56.1,416.4,55471,1399
3400,1803.1,662.1,3119.2,54093,4279
3800,1349.7,510.5,1373.1,40492,10927
4000,1537.5,1724.6,3382.3,46124,7999
4400,1302.1,567.1,1593.7,39062,13037
4800,1582.8,1342.3,2925.5,47483,8409
5000,1267.3,1342.5,5427.1,38019,13873
