Target RPS,Actual RPS,Avg Latency (ms),p95 Latency (ms),Success Count,Failure Count
20,20.0,3.6,4.5,600,0
40,40.0,3.6,4.7,1199,0
60,60.0,3.9,5.5,1800,0
80,80.0,4.5,6.5,2399,0
100,100.0,5.2,7.7,2999,0
200,199.9,5.4,11.0,5996,0
300,300.0,6.3,15.6,9000,0
400,400.0,6.4,18.2,11999,0
500,500.0,6.8,20.9,14999,0
600,600.0,7.3,22.5,17999,0
800,799.9,8.7,28.9,23997,0
1000,984.3,10.8,36.7,29528,0
1200,1109.8,14.0,48.5,33293,0
1400,1158.8,16.0,51.7,34763,0
1600,1308.9,23.2,71.3,39268,0
1800,1399.4,26.6,79.3,41981,347
2000,1415.8,30.8,89.1,42473,2135
2200,1469.8,39.9,108.0,44093,2833
2400,1427.5,43.8,113.1,42826,5371
2600,1524.0,53.2,154.9,45721,5929
2800,1494.7,65.6,206.5,44840,6521
3000,1527.7,94.7,334.9,45831,7477
3400,1560.5,127.5,408.2,46814,7763
3800,1565.3,129.5,509.3,46960,7899
4000,1592.7,240.2,830.9,47782,7876
4400,1571.1,233.0,623.0,47132,9361
4800,1554.1,281.5,776.2,46624,9154
5000,1542.0,258.9,693.8,46260,9744
