Target RPS,Actual RPS,Avg Latency (ms),p95 Latency (ms),Success Count,Failure Count
20,20.0,5.0,5.8,600,0
40,40.0,4.7,5.4,1200,0
60,60.0,4.4,5.1,1799,0
80,80.0,3.8,4.8,2400,0
100,100.0,3.2,3.8,3000,0
200,200.0,3.2,3.9,5999,0
300,300.0,3.2,4.2,8999,0
400,400.0,3.6,4.3,11999,0
500,500.0,3.7,4.3,14999,0
600,600.0,3.5,4.3,17999,0
800,799.5,3.8,4.6,23985,0
1000,979.3,3.9,4.9,29378,0
1200,1097.5,3.9,5.0,32926,0
1400,1194.7,4.0,5.1,35840,0
1600,1294.8,4.2,5.3,38844,0
1800,1378.9,4.3,5.6,41368,0
2000,1483.9,4.4,5.7,44517,0
2200,1604.1,4.5,6.0,48122,0
2400,1750.6,4.8,6.7,52519,0
2600,1893.2,5.2,7.5,56796,0
2800,2006.6,5.7,8.5,60197,0
3000,2159.4,10.0,11.8,64781,0
3400,2028.6,10.7,29.1,60857,2850
3800,2067.0,23.6,49.9,62009,1908
4000,1931.3,108.7,594.1,57939,2499
4400,1881.5,172.4,793.3,56444,4198
4800,1687.7,208.8,568.4,50631,7316
5000,1602.4,172.7,543.9,48072,6733
