Target RPS,Actual RPS,Avg Latency (ms),p95 Latency (ms),Success Count,Failure Count
20,20.0,4.7,5.5,600,0
40,40.0,4.7,5.8,1199,0
60,60.0,5.0,6.5,1800,0
80,80.0,5.5,7.3,2400,0
100,100.0,5.9,8.1,3000,0
200,200.0,5.4,11.1,6000,0
300,300.0,5.5,12.7,8999,0
400,400.0,5.5,13.1,11999,0
500,500.0,5.9,15.6,14999,0
600,600.0,6.4,19.6,17999,0
800,799.9,7.6,24.9,23998,0
1000,981.7,10.0,35.1,29451,0
1200,1105.8,12.5,43.9,33175,0
1400,1166.8,14.9,50.7,35005,0
1600,1294.1,17.8,61.3,38822,0
1800,1421.1,23.4,70.6,42633,0
2000,1481.6,26.9,78.7,44448,1008
2200,1526.9,31.4,97.5,45807,1552
2400,1491.4,38.3,105.8,44743,4161
2600,1585.8,45.6,122.3,47573,4152
2800,1503.7,55.3,157.0,45111,6436
3000,1671.9,54.5,163.4,50158,5851
3400,1579.9,60.1,151.8,47398,6413
3800,1653.4,99.2,300.2,49602,8826
4000,1519.7,121.1,460.4,45590,11772
4400,1505.3,121.4,309.9,45158,11506
4800,1606.9,201.3,626.7,48208,10089
5000,1355.9,218.5,707.4,40678,14499
